Time,Ax,Ay,Az,Roll,Pitch,Yaw
496910,0.04150390625,-0.56982421875,-0.025390625,0.04150390625,-0.56982421875,-0.025390625
496920,0.04296875,-0.5673828125,-0.0263671875,0.04296875,-0.5673828125,-0.0263671875
496940,0.04443359375,-0.56884765625,-0.02734375,0.04443359375,-0.56884765625,-0.02734375
496950,0.04931640625,-0.57958984375,-0.0283203125,0.04443359375,-0.56884765625,-0.02734375
496960,0.052734375,-0.5859375,-0.02880859375,0.04931640625,-0.57958984375,-0.0283203125
496970,0.05517578125,-0.59326171875,-0.02880859375,0.05517578125,-0.59326171875,-0.02880859375
496980,0.05859375,-0.6025390625,-0.0283203125,0.05859375,-0.6025390625,-0.0283203125
496990,0.06201171875,-0.6123046875,-0.02734375,0.06201171875,-0.6123046875,-0.02734375
497000,0.06591796875,-0.625,-0.0263671875,0.06591796875,-0.625,-0.0263671875
497010,0.0693359375,-0.638671875,-0.025390625,0.0693359375,-0.638671875,-0.025390625
497020,0.07275390625,-0.65380859375,-0.0244140625,0.07275390625,-0.65380859375,-0.0244140625
497040,0.076171875,-0.6708984375,-0.0244140625,0.076171875,-0.6708984375,-0.0244140625
497050,0.08203125,-0.70556640625,-0.0244140625,0.076171875,-0.6708984375,-0.0244140625
497060,0.083984375,-0.72314453125,-0.025390625,0.08203125,-0.70556640625,-0.0244140625
497070,0.08642578125,-0.740234375,-0.0263671875,0.08642578125,-0.740234375,-0.0263671875
497080,0.08837890625,-0.7578125,-0.02685546875,0.08837890625,-0.7578125,-0.02685546875
497090,0.09033203125,-0.7744140625,-0.02685546875,0.09033203125,-0.7744140625,-0.02685546875
497100,0.0927734375,-0.791015625,-0.0263671875,0.0927734375,-0.791015625,-0.0263671875
497110,0.09423828125,-0.80517578125,-0.02490234375,0.09423828125,-0.80517578125,-0.02490234375
497120,0.09619140625,-0.818359375,-0.0234375,0.09619140625,-0.818359375,-0.0234375
497140,0.09814453125,-0.8310546875,-0.02197265625,0.09814453125,-0.8310546875,-0.02197265625
497150,0.1005859375,-0.85107421875,-0.017578125,0.09814453125,-0.8310546875,-0.02197265625
497160,0.1015625,-0.8583984375,-0.015625,0.1005859375,-0.85107421875,-0.017578125
497170,0.1025390625,-0.86328125,-0.013671875,0.1025390625,-0.86328125,-0.013671875
497180,0.10400390625,-0.86474609375,-0.01220703125,0.10400390625,-0.86474609375,-0.01220703125
497190,0.1025390625,-0.8701171875,-0.0107421875,0.1025390625,-0.8701171875,-0.0107421875
497200,0.1025390625,-0.869140625,-0.009765625,0.1025390625,-0.869140625,-0.009765625
497210,0.103515625,-0.86083984375,-0.00537109375,0.103515625,-0.86083984375,-0.00537109375
497220,0.103515625,-0.85595703125,-0.00341796875,0.103515625,-0.85595703125,-0.00341796875
497240,0.10498046875,-0.84814453125,-0.00048828125,0.10498046875,-0.84814453125,-0.00048828125
497250,0.1044921875,-0.83740234375,0.0009765625,0.10498046875,-0.84814453125,-0.00048828125
497260,0.1044921875,-0.828125,0.0009765625,0.1044921875,-0.83740234375,0.0009765625
