Time,Ax,Ay,Az,Roll,Pitch,Yaw
5764810,0.08740234375,-0.1767578125,-0.0068359375,0.08740234375,-0.1767578125,-0.0068359375
5764820,0.06591796875,-0.13623046875,-0.013671875,0.06591796875,-0.13623046875,-0.013671875
5764840,0.056640625,-0.10791015625,-0.00537109375,0.056640625,-0.10791015625,-0.00537109375
5764850,0.06787109375,-0.17578125,0.00830078125,0.056640625,-0.10791015625,-0.00537109375
5764860,0.0830078125,-0.2568359375,0.01025390625,0.06787109375,-0.17578125,0.00830078125
5764870,0.09423828125,-0.36474609375,-0.001953125,0.09423828125,-0.36474609375,-0.001953125
5764880,0.10205078125,-0.4931640625,-0.0244140625,0.10205078125,-0.4931640625,-0.0244140625
5764890,0.103515625,-0.630859375,-0.04931640625,0.103515625,-0.630859375,-0.04931640625
5764900,0.10107421875,-0.75,-0.0703125,0.10107421875,-0.75,-0.0703125
5764910,0.10009765625,-0.85009765625,-0.08203125,0.10009765625,-0.85009765625,-0.08203125
5764920,0.1025390625,-0.919921875,-0.08203125,0.1025390625,-0.919921875,-0.08203125
5764940,0.1103515625,-0.984375,-0.07421875,0.1103515625,-0.984375,-0.07421875
5764950,0.11669921875,-1.08349609375,-0.04541015625,0.1103515625,-0.984375,-0.07421875
5764960,0.12060546875,-1.13671875,-0.03466796875,0.11669921875,-1.08349609375,-0.04541015625
5764970,0.123046875,-1.19140625,-0.02734375,0.123046875,-1.19140625,-0.02734375
5764980,0.12451171875,-1.2548828125,-0.021484375,0.12451171875,-1.2548828125,-0.021484375
5764990,0.1240234375,-1.32470703125,-0.01806640625,0.1240234375,-1.32470703125,-0.01806640625
5765000,0.1220703125,-1.38623046875,-0.01611328125,0.1220703125,-1.38623046875,-0.01611328125
5765005,0.12109375,-1.41455078125,-0.0146484375,0.12109375,-1.41455078125,-0.0146484375
5765015,0.11962890625,-1.5078125,-0.00390625,0.11962890625,-1.5078125,-0.00390625
5765035,0.1181640625,-1.50927734375,-0.0048828125,0.1181640625,-1.50927734375,-0.0048828125
5765045,0.11279296875,-1.4697265625,0.001953125,0.1181640625,-1.50927734375,-0.0048828125
5765055,0.10595703125,-1.4609375,-0.00048828125,0.11279296875,-1.4697265625,0.001953125
5765065,0.11279296875,-1.41064453125,0.00439453125,0.11279296875,-1.41064453125,0.00439453125
5765075,0.10595703125,-1.36083984375,0.017578125,0.10595703125,-1.36083984375,0.017578125
5765085,0.11083984375,-1.3232421875,0.01025390625,0.11083984375,-1.3232421875,0.01025390625
5765095,0.1044921875,-1.26025390625,0.01904296875,0.1044921875,-1.26025390625,0.01904296875
5765105,0.1015625,-1.228515625,0.01708984375,0.1015625,-1.228515625,0.01708984375
5765115,0.10400390625,-1.18994140625,0.015625,0.10400390625,-1.18994140625,0.015625
5765135,0.1044921875,-1.10302734375,0.01953125,0.1044921875,-1.10302734375,0.01953125
5765145,0.095703125,-0.98876953125,0.01953125,0.1044921875,-1.10302734375,0.01953125
5765155,0.09716796875,-0.9111328125,0.0224609375,0.095703125,-0.98876953125,0.01953125
5765165,0.091796875,-0.85107421875,0.0322265625,0.091796875,-0.85107421875,0.0322265625
5765175,0.09521484375,-0.796875,0.037109375,0.09521484375,-0.796875,0.037109375
5765185,0.0947265625,-0.73291015625,0.04296875,0.0947265625,-0.73291015625,0.04296875
5765195,0.09228515625,-0.66845703125,0.04736328125,0.09228515625,-0.66845703125,0.04736328125
5765205,0.0908203125,-0.62548828125,0.04345703125,0.0908203125,-0.62548828125,0.04345703125
5765215,0.09130859375,-0.58203125,0.03955078125,0.09130859375,-0.58203125,0.03955078125
5765235,0.08984375,-0.5,0.05615234375,0.08984375,-0.5,0.05615234375
5765245,0.09423828125,-0.48291015625,0.04345703125,0.08984375,-0.5,0.05615234375
5765255,0.08642578125,-0.458984375,0.0537109375,0.09423828125,-0.48291015625,0.04345703125
5765265,0.0908203125,-0.46826171875,0.03369140625,0.0908203125,-0.46826171875,0.03369140625
5765275,0.0869140625,-0.474609375,0.02490234375,0.0869140625,-0.474609375,0.02490234375
5765285,0.08984375,-0.4677734375,0.02099609375,0.08984375,-0.4677734375,0.02099609375
5765295,0.087890625,-0.46875,0.01123046875,0.087890625,-0.46875,0.01123046875
5765305,0.09033203125,-0.45751953125,0.005859375,0.09033203125,-0.45751953125,0.005859375
5765315,0.08935546875,-0.45166015625,0.0009765625,0.08935546875,-0.45166015625,0.0009765625
5765335,0.08935546875,-0.45703125,-0.00439453125,0.08935546875,-0.45703125,-0.00439453125
5765345,0.0888671875,-0.48291015625,-0.0087890625,0.08935546875,-0.45703125,-0.00439453125
5765355,0.087890625,-0.51318359375,-0.01123046875,0.0888671875,-0.48291015625,-0.0087890625
5765365,0.087890625,-0.5576171875,-0.0146484375,0.087890625,-0.5576171875,-0.0146484375
5765375,0.08642578125,-0.611328125,-0.01904296875,0.08642578125,-0.611328125,-0.01904296875
5765385,0.083984375,-0.67578125,-0.025390625,0.083984375,-0.67578125,-0.025390625
5765395,0.08251953125,-0.73583984375,-0.03125,0.08251953125,-0.73583984375,-0.03125
5765405,0.080078125,-0.794921875,-0.0400390625,0.080078125,-0.794921875,-0.0400390625
5765415,0.0771484375,-0.85107421875,-0.0498046875,0.0771484375,-0.85107421875,-0.0498046875
5765435,0.07275390625,-0.8994140625,-0.05908203125,0.07275390625,-0.8994140625,-0.05908203125
5765445,0.06689453125,-0.9873046875,-0.07861328125,0.07275390625,-0.8994140625,-0.05908203125
5765455,0.064453125,-1.0302734375,-0.0849609375,0.06689453125,-0.9873046875,-0.07861328125
